Ticker,Nom,SUB_IND_GICS,IND_GICS,REGION_NAME,CUR_MKT_CAP,CURR_ENTP_VAL,NET_INCOME_FIRM,SALES_REV_TURN,NET_REV,GROSS_PROFIT,EBIT,EBITDA,NET_DEBT,CURRENT_EV_TO_T12M_EBIT,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,TRAIL_12M_NET_SALES,CURRENT_EV_TO_12M_SALES,PE_RATIO,NUM_OF_EMPLOYEES,SUSTAIN_GROWTH_RT,PROF_MARGIN,Unnamed: 23
PUMP,ProPetro Holding Corp,Oil & Gas Equipment & Services,Energy,United States,1392774494.0,1281.322494,,874.514,,212.248,-68.696,64.981,-111.452,,19.7184176,1.578118545,874.514,1.465182369,,1500.0,,-6.196012871,
LFUS,Littelfuse Inc,Electronic Components,Information Technology,United States,5921054836.0,6110.904836,299.2244408,2079.928,,771.926,385.642,494.206,189.719,15.80136805,12.36509641,2.836938215,2079.928,2.938036718,20.70433834,17000.0,12.12991219,13.64499156,
SM,SM Energy Co,Oil & Gas Exploration & Production,Energy,United States,4404101643.0,6178.504643,162.0640951,2622.894,,1343.092,209.123,996.334,1774.403,29.35716534,6.201238383,1.648300621,2622.894,2.355605923,3.99088164,506.0,1.766078808,1.381260547,
CHUY,Chuy's Holdings Inc,Restaurants,Consumer Discretionary,United States,515993919.9,611.1109199,30.30284173,396.467,,97.471,34.402,80.024,95.117,12.16068533,7.63659552,1.359727183,396.467,1.541391641,14.68903527,6700.0,11.95913223,7.611226155,
PAVM,PAVmed Inc,Health Care Equipment,Health Care,United States,101564360.2,66.93936021,,0.0,,0.0,-23.351,-23.139,-7.196,,,481.0979131,0.2,334.696801,,25.0,,,
CNMD,CONMED Corp,Health Care Equipment,Health Care,United States,4096104230.0,4780.36523,92.89974393,1010.635,,568.036,109.717,188.18,684.261,43.15420283,25.40315246,4.018810717,1010.636,4.730061031,70.47934469,3800.0,6.359918204,6.188386509,
AORT,Artivion Inc,Health Care Equipment,Health Care,United States,775433020.9,1082.466021,,298.836,,197.514,8.117,39.216,307.033,107.3487905,27.60266271,2.521785398,298.836,3.622274495,,1300.0,,-4.963926702,
APTS,Preferred Apartment Communities Inc,Residential REITs,Real Estate,United States,1408416475.0,3719.304475,,451.142,,,102.514,271.707,2313.159,36.28094188,13.68865902,2.879663871,451.142,8.244199111,,,,4.532054209,
AKR,Acadia Realty Trust,Retail REITs,Real Estate,United States,2037605449.0,4499.178449,,292.497,,,20.135,150.758,1833.251,192.3698986,29.84371277,6.524512115,292.497,15.38196443,90.10538007,123.0,-7.661757776,8.050680862,
RGA,Reinsurance Group of America Inc,Reinsurance,Financials,United States,6833214966.0,7732.214966,730.3994211,16658.0,,,,,899.0,9.452585533,,0.417844477,16531.0,0.464174269,71.54056811,3500.0,3.087462742,3.703926042,
PZZA,Papa John's International Inc,Restaurants,Consumer Discretionary,United States,3512514368.0,4148.116368,135.9139302,2068.421,,655.642,168.241,248.09,614.892,23.23679592,16.72020786,1.648228472,2068.421,2.005450712,380.6386261,14000.0,,5.802300402,
GEF,Greif Inc,Metal & Glass Containers,Materials,United States,2874383923.0,5425.883923,,5556.1,,1093.0,585.2,890.0,2394.5,9.074383656,6.045553118,0.484400984,5973.9,0.90826494,9.527785193,16000.0,-122.5466092,7.031910873,
BYD,Boyd Gaming Corp,Casinos & Gaming,Consumer Discretionary,United States,6947979213.0,10535.27421,617.0243407,3369.81,,1937.33,900.104,1293.584,3587.295,10.75872296,8.144252103,2.134254828,3369.81,3.126370393,12.27659261,15114.0,34.84041884,13.76475232,
MCRI,Monarch Casino & Resort Inc,Casinos & Gaming,Consumer Discretionary,United States,1519986394.0,1588.855394,72.1028918,395.377,,217.661,89.877,129.737,68.869,17.55502275,12.24674066,3.829709695,395.377,4.01858326,22.48722264,2650.0,16.78460839,17.32220134,
MOV,Movado Group Inc,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,United States,784817686.3,664.9236863,,506.397,,270.499,-142.127,-109.482,-118.138,6.321949535,5.62807833,1.132232904,704.748,0.943491413,9.432761896,1206.0,17.50700327,-22.02185242,
FRO,Frontline Ltd/Bermuda,Oil & Gas Storage & Transportation,Energy,Norway,1653689204.0,3906.607204,,749.381,,,12.216,165.197,2253.39,319.7943029,23.64817281,2.158595948,749.38,5.213112161,,84.0,-0.683544668,-1.487627789,
BFS,Saul Centers Inc,Retail REITs,Real Estate,United States,1110270000.0,2549.97,,239.225,,,61.649,111.921,1129.262,41.36271472,22.7836599,4.613093299,239.224,10.65929564,29.52531742,65.0,-4.90413455,20.22740098,
OPK,OPKO Health Inc,Biotechnology,Health Care,United States,2102289619.0,2219.411619,,1774.718,,581.524,18.75,112.966,117.122,107.369894,19.64672219,1.125068251,1774.686,1.250571425,,5269.0,,-1.698467024,
MHO,M/I Homes Inc,Homebuilding,Consumer Discretionary,United States,1333049069.0,2130.244069,398.5486598,3745.887,,908.915,518.296,541.106,797.195,4.110091664,3.936833207,0.363691526,3745.887,0.568688823,3.422632586,1515.0,27.53272593,10.59476701,
ROCK,Gibraltar Industries Inc,Building Products,Industrials,United States,1491741884.0,1514.063884,65.10937524,1339.783,,290.011,96.988,128.954,22.322,15.41580416,11.74111608,1.117499794,1339.783,1.130081426,16.69056307,2319.0,9.640020828,5.644869356,
GLSI,Greenwich Lifesciences Inc,Biotechnology,Health Care,United States,275328449.5,246.4224565,,0.0,,0.0,-1.863794,,-28.660375,,,,0.0,,,1.0,,,
AVID,Avid Technology Inc,"Technology Hardware, Storage & Peripherals",Information Technology,United States,1236742123.0,1378.910123,48.12514344,409.944,,265.804,46.263,61.617,142.168,29.80589506,22.37872865,3.04535891,409.944,3.363654848,29.36240753,1405.0,,10.09601311,
UBER,Uber Technologies Inc,Trucking,Industrials,United States,57734869160.0,65669.86916,,17455.0,,8104.0,-3834.0,-2638.0,7044.0,,,3.213643781,17455.0,3.762238279,,29300.0,-3.712019159,-2.841592667,
UFPI,UFP Industries Inc,Building Products,Industrials,United States,5158655030.0,5310.52103,546.1452707,8636.134,,1406.967,737.554,862.631,113.91,7.175351216,6.156190805,0.583664686,8636.134,0.614918785,9.889981402,15000.0,27.65552253,6.202312285,
VRRM,Verra Mobility Corp,Data Processing & Outsourced Services,Information Technology,United States,2512635085.0,3394.221085,-74.33116566,393.593,,360.053,37.816,159.686,752.951,39.83079569,17.08093584,5.401034677,480.773,7.059924507,101.9303479,640.0,7.136633151,-0.875269631,
LXP,LXP Industrial Trust,Industrial REITs,Real Estate,United States,4413339483.0,5877.711483,,343.997,,,78.538,261.717,1335.232,74.90584039,22.45827166,12.46735814,343.997,17.0865196,155.270138,62.0,16.08455319,111.2358538,
ONTO,Onto Innovation Inc,Semiconductor Equipment,Information Technology,United States,3696057256.0,3198.468256,,788.899,,429.086,156.407,226.436,-497.589,20.34813699,14.1252639,4.674576065,788.899,4.054344417,26.84364446,1411.0,10.58041825,18.04400817,
FFIN,First Financial Bankshares Inc,Regional Banks,Financials,United States,6692500847.0,,,518.581,512.539,,,,142.564,,,12.87599504,518.581,,29.56518471,1484.0,8.12334421,44.39896281,
FWRD,Forward Air Corp,Air Freight & Logistics,Industrials,United States,2721357582.0,3004.107582,109.1088258,1662.427,,365.326,159.301,251.364,282.75,18.40086725,11.95122445,1.651646173,1662.427,1.807061352,23.73227061,4035.0,15.78383137,6.367738253,
HAIN,Hain Celestial Group Inc/The,Packaged Foods & Meats,Consumer Staples,United States,2962663386.0,3721.564386,82.74923434,1970.302,,491.615,107.38,173.352,251.95,24.51224449,17.65925505,1.687623813,1875.101,1.984727429,22.71018376,3087.0,9.199100241,3.926504668,
